A,B,label
Even and odd functions,Domain of a function,0
Exponential growth,Common logarithm,0
Polynomial,Slope,0
Arithmetic,Polynomial long division,0
Coordinate system,Circle,0
Mathematics,Spherical law of cosines,0
Exponential function,Function (mathematics),1
Integer,Quadratic formula,0
Partial fraction decomposition,Polynomial,1
Quadratic equation,Degree of a polynomial,0
Addition,Synthetic division,0
Trigonometry,Trigonometric functions,0
Arithmetic,Binomial,0
Elementary matrix,Square matrix,1
Line–line intersection,Geometry,1
Number,Complex number,0
Function (mathematics),Linear function,0
Quadratic equation,Equation,1
Mathematics,Expression (mathematics),0
Line segment,Chord (geometry),0
Secant line,Mathematics,1
Mathematics,Fundamental theorem of algebra,0
Floor and ceiling functions,Mathematical proof,0
Square root,Number,1
Mereology,Mathematics,1
Polynomial,Rational number,0
Mathematics,Limit of a function,0
Line (geometry),Circular motion,0
Line segment,Law of sines,0
Equality (mathematics),Differential equation,0
Quadratic equation,Sine,0
Mathematics,Basis (linear algebra),0
Logarithm,Integer,0
Equation solving,Nth root,0
Natural logarithm,Exponentiation,1
Complex conjugate,Complex number,1
Inverse trigonometric functions,Function (mathematics),1
Slope,Sine,0
Multiplication,Degree of a polynomial,0
Binomial,Polynomial,1
Multiplication,Binomial theorem,0
Degree (angle),Geometry,1
Polynomial,Division (mathematics),0
Real number,Rational number,0
Limit (mathematics),Calculus,1
Limit of a function,Mathematics,1
Number,Sum,0
Origin (mathematics),Mathematics,1
Multiplication,Fundamental theorem of algebra,0
Real number,System of linear equations,0
Degree of a polynomial,Zero of a function,0
Geometry,Chord (geometry),0
Spherical law of cosines,Perpendicular,0
Line (geometry),Plane curve,0
Addition,Empty sum,0
Linear function,Graph of a function,0
Number,Subtraction,0
Chord (geometry),Line segment,1
Determinant,Matrix (mathematics),1
Number,Complex conjugate,0
Chord (geometry),Circle,1
Product (mathematics),Product topology,0
Inequality (mathematics),Number,1
Factorization,Number,1
Semi-minor axis,Conic section,0
Rational number,Set-builder notation,0
Exponential function,Natural logarithm,0
Mathematics,Cone,0
Orientation (geometry),Plane (geometry),1
Set (mathematics),E (mathematical constant),0
Trigonometric substitution,Mathematics,1
Square root,Common logarithm,0
Number,Nth root,0
Function composition,Transformation (function),0
Subtraction,Inequality (mathematics),0
Mathematical induction,Real number,0
Analytic geometry,Line (geometry),1
Multiplication,Real number,0
Real number,Absolute value,0
Division (mathematics),Division by zero,0
Focus (geometry),Mathematics,1
Cone,Circle,1
Complex number,Zero (complex analysis),0
Binary logarithm,Mathematics,1
Exponentiation,Multiplication,1
Law of sines,Angle,1
Division (mathematics),Mathematics,1
Factorization,Real number,0
Real number,Analytic geometry,0
Number,Rational root theorem,0
Line (geometry),Circular sector,0
Mathematics,Slope,0
Circular sector,Polygon,0
Circular sector,Circle,1
Solution of triangles,Geometry,1
Homogeneous polynomial,Number,1
Unit circle,Equation,0
Mathematics,Mathematical analysis,0
Mathematics,Equality (mathematics),0
Curve,Sine wave,0
Trigonometric substitution,Trigonometry,1
Addition,Polynomial,0
Multiplication,Natural logarithm,0
Complex number,Negative number,0
Mathematics,Quadrant (plane geometry),0
Mathematics,Binary logarithm,0
Integer,Descartes' rule of signs,0
Complex number,E (mathematical constant),0
Empty sum,Mathematics,1
Arithmetic,Dot product,0
Equation solving,Equation,1
Function (mathematics),Exponential function,0
Binomial coefficient,Arithmetic,1
Descartes' rule of signs,Integer,1
Multiplication,Homogeneous polynomial,0
Fundamental theorem of algebra,Equality (mathematics),1
Pythagorean theorem,Geometry,1
Transformation (function),Mathematics,1
Number,Exponential growth,0
Imaginary number,Complex number,1
Amplitude,Even and odd functions,0
Determinant,Parity (mathematics),0
Circular motion,Line (geometry),1
Exponentiation,Sine,0
Line (geometry),Perpendicular,0
Periodic function,Function (mathematics),1
Point (geometry),Edge (geometry),0
Equation,Linear equation,0
Scalar multiplication,Arithmetic,1
Mathematics,Rational function,0
Fundamental theorem of algebra,Algebra,1
Line (geometry),Solution of triangles,0
Real number,Limit of a sequence,0
Perpendicular,Geometry,1
Number,Linear equation,0
Point (geometry),Mathematics,1
Sine,Trigonometry,1
Mathematics,Limit (mathematics),0
Polar coordinate system,Number,1
Angle,Law of sines,0
Equation solving,Real number,0
Rational function,Mathematics,1
Function (mathematics),Continuous function,0
Degree of a polynomial,Arithmetic,1
Quadratic equation,Number,1
Geometry,Distance,0
Subtraction,Real number,0
Cylinder (geometry),Geometry,1
Mathematics,Algebra,0
Series (mathematics),Geometric series,0
Empty sum,Number,1
Addition,Complex number,0
Number,Summation,0
Exponential function,Exponential growth,0
Real number,Real line,0
Binomial coefficient,Mathematics,1
Number,Algebraic equation,0
Interval (mathematics),Inequality (mathematics),0
Mathematics,Point (geometry),0
Linear inequality,Function (mathematics),1
Line (geometry),Focus (geometry),0
Cross product,Product (mathematics),1
Linear inequality,Linear function,1
Mathematics,Equation solving,0
Polynomial long division,Synthetic division,0
Mathematics,Polar coordinate system,0
Mathematics,Binomial theorem,0
Addition,Summation,0
Binomial theorem,Multiplication,1
Conic section,Curve,1
Curve,Plane curve,0
Binomial,Addition,1
Equality (mathematics),Algebra,0
Triangle,Line segment,1
Partial fraction decomposition,Addition,1
Trigonometric functions,Trigonometry,1
Vector (mathematics and physics),Scalar (mathematics),0
Plane (geometry),Analytic geometry,0
Mathematics,Square (algebra),0
Mathematical analysis,Mathematics,1
Polynomial long division,Integer,1
Summation,Number,1
Mathematical proof,Mathematical induction,0
Arithmetic,Summation,0
Pythagorean trigonometric identity,Geometry,1
Arithmetic,Logarithm,0
Mathematics,Plane (geometry),0
Vector (mathematics and physics),Norm (mathematics),0
Geometric series,Mathematics,1
Binomial,Summation,0
Real number,Imaginary number,0
Logarithm,Exponentiation,1
Logarithm,Arithmetic,1
Length,Geometry,0
Mathematics,Addition,0
Number,Logarithm,0
Set (mathematics),Distributive property,0
Rationalisation (mathematics),Square root,0
Integer,Distributive property,0
Integer,Binary logarithm,0
Polynomial,Function composition,0
Common logarithm,Number,1
Partial fraction decomposition,Synthetic division,0
Descartes' rule of signs,Multiplication,1
Division (mathematics),Multiplicative inverse,0
Limit (mathematics),Mathematics,1
Analytic geometry,Perpendicular,1
Sine,Inverse trigonometric functions,0
Quadratic equation,Rational number,0
Function composition,Interval (mathematics),0
Summation,Arithmetic,1
Equation,Zero of a function,0
Polynomial,Natural number,0
Mathematics,Polynomial long division,0
Multiplication,Minor (linear algebra),0
Trigonometric substitution,Geometry,1
Homogeneous polynomial,Integer,1
